サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,X,no,II_
17,B2,ヒメモチ,NA,NA,0.1,0.5,NA,752,NA
17,C,シラネワラビ,5,15,15,18,NA,753,5
17,C,チゴユリ,0.5,0.5,0,0.5,NA,754,0.5
17,C,ツルアリドオシ,1,1,0.1,0.5,NA,755,1
17,C,ツルリンドウ,0,0.5,0,,NA,756,0.5
17,C,ミヤマカンスゲ,0,10,20,5,NA,757,5
17,C,ヤマイヌワラビ,0,0.5,0,,NA,758,0.5
17,C,ヤマソテツ,3,3,5,7,NA,759,3
17,C,ユキザサ,1,1,0.1,0.5,NA,760,1
17,C,コカンスゲ,5,0,0,,NA,761,0
17,S,チシマザサ,8,40,20,15,NA,762,7
NA,,イタヤカエデ,NA,NA,,0.5,NA,NA,NA
NA,,トチノキ,NA,NA,,0.5,NA,NA,NA
18,B2,イタヤカエデ,0.5,0.5,0.2,0,NA,766,0.5
18,B2,イタヤカエデ,0.5,0.5,0,,NA,774,0.5
18,B2,ウリハダカエデ,0,3,2,6,NA,775,3
18,B2,ウワミズザクラ,4,4,2,3,NA,776,3
18,B2,オオカメノキ,5,15,20,14,NA,777,5
18,B2,オオバクロモジ,5,15,15,13,NA,778,5
18,B2,コシアブラ,1,0,1,3,NA,779,0
18,B2,ナナカマド,0,1,0.2,0.5,NA,780,1
18,B2,ノリウツギ,0,0.5,1,1,NA,781,0.5
18,B2,ハイイヌツゲ,1,0,0,0,NA,782,0
18,B2,ヒメアオキ,4,4,4,5,NA,783,3
18,B2,ヒメモチ,0.5,1,2,2,NA,784,1
18,B2,ブナ,4,5,2,1,NA,785,4
18,B2,ミズキ,1,0,0,0,NA,786,0
18,B2,ヤマウルシ,0,5,6,6,NA,787,4
18,B2,アオダモ,NA,NA,1,1,NA,788,NA
18,B2,ウワミズザクラ,NA,NA,1,2,NA,789,NA
18,B2,ツノハシバミ,NA,NA,0.1,,NA,790,NA
18,C,イワガラミ,0,3,2,,NA,791,3
18,C,オシダ,0,0.5,0.5,,NA,792,0.5
18,C,シラネワラビ,6,18,25,25,NA,793,5
18,C,タチシオデ,0.5,0.5,0.2,0.1,NA,794,0.5
18,C,タニギキョウ,0,0.5,0.1,0.1,NA,795,0.5
18,C,ツタウルシ,0,3,0.5,,NA,796,3
18,C,ツルアリドオシ,0,1,0.5,0.5,NA,797,1
18,C,ツルリンドウ,0,0.5,0,,NA,798,0.5
18,C,ミヤマウズラ,0,0.5,0.2,0.1,NA,799,0.5
18,C,ミヤマカンスゲ,0,20,10,10,NA,800,6
18,C,ヤマソテツ,2,1,5,5,NA,801,1
18,C,ユキザサ,1,0.5,0.1,0.2,NA,802,0.5
18,C,コイワカガミ,0.5,0,0,,NA,803,0
18,C,コカンスゲ,5,0,0,,NA,804,0
18,S,チシマザサ,9,0,,5,NA,805,0
18,,ハウチワカエデ,NA,NA,,0.1,NA,NA,NA
19,B2,アオダモ,0,0.5,0,0,NA,809,0.5
19,B2,ウリハダカエデ,0.5,5,2,4,NA,815,4
19,B2,ウワミズザクラ,4,3,3,2,NA,816,3
19,B2,オオカメノキ,5,10,10,11,NA,817,5
19,B2,オオバクロモジ,3,5,5,12,NA,818,4
19,B2,コシアブラ,0,0.5,1,4,NA,819,0.5
19,B2,コマユミ,2,0,0,,NA,820,0
19,B2,サワフタギ,5,10,7,7,NA,821,5
19,B2,タニウツギ,0,2,2,0.5,NA,822,2
19,B2,ツノハシバミ,0.5,0.5,0,2,NA,823,0.5
19,B2,トチノキ,0,0.5,0,0,NA,824,0.5
19,B2,ナナカマド,0,0.5,1,2,NA,825,0.5
19,B2,ハイイヌガヤ,0,1,0,,NA,826,1
19,B2,ハイイヌツゲ,0.5,0,0,,NA,827,0
19,B2,ブナ,5,10,20,4,NA,828,5
19,B2,ミズキ,1,0,0,,NA,829,0
19,B2,ミヤマシキミ,0,0.5,0,,NA,830,0.5
19,B2,ツリバナ,NA,NA,0.5,0.2,NA,831,NA
19,B2,ヒメアオキ,NA,NA,1,1,NA,832,NA
19,B2,ノリウツギ,NA,NA,0.5,0.5,NA,833,NA
19,B2,ヒメモチ,NA,NA,0.2,1,NA,834,NA
19,C,エンレイソウ,0,0.5,0,,NA,835,0.5
19,C,シラネワラビ,6,15,10,14,NA,836,5
19,C,タニギキョウ,0.5,0.5,0,0,NA,837,0.5
19,C,ツルアリドオシ,1,0,0,0,NA,838,0
19,C,マイヅルソウ,0,0.5,0,0,NA,839,0.5
19,C,ミヤマカンスゲ,0,15,10,5,NA,840,5
19,C,ヤマイヌワラビ,0,0.5,0,,NA,841,0.5
19,C,ヤマソテツ,0.5,1,2,2,NA,842,1
19,C,ユキザサ,4,3,0.1,1,NA,843,3
19,C,アカミノルイヨウショウマ,0.5,0,0,,NA,844,0
19,C,コカンスゲ,4,0,0,,NA,845,0
19,S,チシマザサ,9,60,12,10,NA,846,8
NA,,チゴユリ,NA,NA,,0.1,NA,NA,NA
20,B2,ウリハダカエデ,0,4,1,0.6,NA,851,3
20,B2,ウワミズザクラ,4,1,1,1,NA,862,1
20,B2,オオカメノキ,5,10,10,10,NA,863,5
20,B2,オオバクロモジ,1,2,1,2,NA,864,2
20,B2,コシアブラ,0.5,0,0.1,0.5,NA,865,0
20,B2,サワフタギ,5,15,2,4,NA,866,5
20,B2,ナナカマド,0,1,2,2,NA,867,1
20,B2,ハイイヌツゲ,3,0.5,0,,NA,868,0.5
20,B2,ヒメモチ,0,2,0.5,0.5,NA,869,2
20,B2,ブナ,0,4,8,11,NA,870,3
20,B2,ミズキ,1,0,0.5,4,NA,871,0
20,B2,ヤマモミジ,0,0.5,0,0.2,NA,872,0.5
20,B2,マユミ,1,0,0,0.1,NA,873,0
20,B2,ハイイヌガヤ,NA,NA,0.5,2,NA,874,NA
20,B2,アオダモ,NA,NA,0.2,0.2,NA,875,NA
20,B2,ヒメアオキ,NA,NA,3,4,NA,876,NA
20,B2,イボタノキ,NA,NA,0.2,0.3,NA,877,NA
20,B2,メイゲツカエデ,NA,NA,2,2,NA,878,NA
20,B2,ツノハシバミ,NA,NA,0.2,,NA,879,NA
20,B2,コマユミ,NA,NA,0.1,0.1,NA,880,NA
20,C,エンレイソウ,0,0.5,0,0.5,NA,881,0.5
20,C,シラネワラビ,5,16,25,24,NA,882,5
20,C,タケシマラン,0,0.5,0.1,,NA,883,0.5
20,C,タチシオデ,0,0.5,0,,NA,884,0.5
20,C,タニギキョウ,0,0.5,0,,NA,885,0.5
20,C,チゴユリ,0.5,0.5,0,0.1,NA,886,0.5
20,C,ツクバネソウ,0.5,0,0,0.2,NA,887,0
20,C,ツルアリドオシ,0.5,0,0,,NA,888,0
20,C,マイヅルソウ,0,0.5,0,,NA,889,0.5
20,C,ミヤマカンスゲ,0,8,3,2,NA,890,4
20,C,ヤマイヌワラビ,0,0.5,0.5,0.2,NA,891,0.5
20,C,ヤマソテツ,3,3,3,7,NA,892,3
20,C,ユキザサ,4,6,0.5,2,NA,893,4
20,C,コカンスゲ,5,0,0,,NA,894,0
20,C,ホウチャクソウ,0.5,0,0,,NA,895,0
20,C,ヒロバスゲ,NA,NA,0.1,,NA,896,NA
20,S,チシマザサ,9,85,10,20,NA,897,9
NA,,トチノキ,NA,NA,,0.2,NA,NA,NA
NA,,ツルリンドウ,NA,NA,,0.1,NA,NA,NA
NA,,タムシバ,NA,NA,,0.2,NA,NA,NA
NA,,タチシオデ,NA,NA,,0.1,NA,NA,NA
21,B2,アオダモ,0,0.5,0.2,0.2,NA,902,0.5
21,B2,イタヤカエデ,0.5,0.5,0.2,0.2,NA,908,0.5
21,B2,ウリハダカエデ,0.5,0.5,.,0.5,NA,909,0.5
21,B2,ウワミズザクラ,0,4,0,6,NA,910,3
21,B2,オオカメノキ,6,35,20,18,NA,911,7
21,B2,オオバクロモジ,2,5,3,2,NA,912,4
21,B2,コマユミ,3,0.5,0.5,0.5,NA,913,0.5
21,B2,トチノキ,0,0.5,0.2,0.1,NA,914,0.5
21,B2,ナナカマド,0,0.5,0.1,,NA,915,0.5
21,B2,ハイイヌガヤ,0,5,1,1,NA,916,4
21,B2,ハイイヌツゲ,0.5,0.5,0.2,0.1,NA,917,0.5
21,B2,ブナ,4,5,2,3,NA,918,4
21,B2,ミズキ,4,0,0.2,0.58,NA,919,0
21,B2,ミヤマシキミ,0,1,0,,NA,920,1
21,B2,メイゲツカエデ,0,5,0,,NA,921,4
21,B2,マユミ,4,0,0,,NA,922,0
21,B2,ツリバナ,NA,NA,1,0.2,NA,923,NA
21,B2,ヒメアオキ,NA,NA,4,3,NA,924,NA
21,B2,ヒメモチ,NA,NA,0.2,0.1,NA,925,NA
21,B2,コシアブラ,NA,NA,0.1,0.2,NA,926,NA
21,B2,ヤマモミジ,NA,NA,0.1,5,NA,927,NA
21,C,クサアジサイ,0,8,0,0,NA,928,4
21,C,サカゲイノデ,0,0.5,0,0,NA,929,0.5
21,C,シラネワラビ,6,20,15,13,NA,930,6
21,C,タケシマラン,0,0.5,0,,NA,931,0.5
21,C,タチシオデ,0.5,0,0,,NA,932,0
21,C,チゴユリ,0.5,0.5,0,,NA,933,0.5
21,C,ミヤマカンスゲ,0,10,15,10,NA,934,5
21,C,ヤマイヌワラビ,0,0.5,1,0.2,NA,935,0.5
21,C,ヤマソテツ,4,5,10,12,NA,936,4
21,C,ユキザサ,0.5,0.5,0,0.1,NA,937,0.5
21,C,コカンスゲ,4,0,0,,NA,938,0
21,C,テンニンソウ,NA,NA,4,3,NA,939,NA
21,C,スミレサイシン,NA,NA,0.1,0.1,NA,940,NA
21,C,カメバヒキオコシ,NA,NA,1,0.5,NA,941,NA
21,C,ヤマドリゼンマイ,NA,NA,0.5,1,NA,942,NA
21,S,チシマザサ,8,60,15,10,NA,943,8
NA,,エンレイソウ,NA,NA,,0.1,NA,NA,NA
22,B2,アオダモ,0,5,0.1,0.1,NA,947,4
22,B2,イタヤカエデ,0,0.5,0.2,0.1,NA,953,0.5
22,B2,ウリハダカエデ,0,3,2,5,NA,954,3
22,B2,オオカメノキ,6,25,8,15,NA,955,6
22,B2,オオバクロモジ,4,6,4,6,NA,956,4
22,B2,コシアブラ,0,0.5,1,0.1,NA,957,0.5
22,B2,コマユミ,4,0,0,,NA,958,0
22,B2,ツノハシバミ,0.5,0.5,0.5,2,NA,959,0.5
22,B2,ナナカマド,0,1,0,1,NA,960,1
22,B2,ノリウツギ,0,3,2,2,NA,961,3
22,B2,ハイイヌガヤ,3,4,1,0.5,NA,962,3
22,B2,ハイイヌツゲ,1,0,0,,NA,963,0
22,B2,ヒメアオキ,0,5,5,4,NA,964,4
22,B2,ヒメモチ,3,0,0.5,0.5,NA,965,0
22,B2,ホオノキ,0.5,0,0,,NA,966,0
22,B2,ミズキ,4,0,0,,NA,967,0
22,B2,ミヤマシキミ,0,2,0,,NA,968,2
22,B2,メイゲツカエデ,0,5,4,3,NA,969,4
22,B2,マユミ,4,0,0,,NA,970,0
22,B2,ヤマモミジ,NA,NA,0.1,,NA,971,NA
22,C,シラネワラビ,6,28,50,45,NA,972,6
22,C,タチシオデ,0.5,0,0,,NA,973,0
22,C,ツルアリドオシ,0.5,0,0,,NA,974,0
22,C,ミヤマウズラ,0,0.5,0,,NA,975,0.5
22,C,ミヤマカンスゲ,0,12,4,5,NA,976,5
22,C,ヤマソテツ,1,3,3,2,NA,977,3
22,C,ユキザサ,0.5,0.5,0,,NA,978,0.5
22,C,コカンスゲ,5,0,0,,NA,979,0
22,S,チシマザサ,9,60,25,15,NA,980,8
22,,ブナ,NA,NA,,2,NA,NA,NA
22,,トチノキ,NA,NA,,0.1,NA,NA,NA
22,,ウワミズザクラ,NA,NA,,0.1,NA,NA,NA
23,B2,アオダモ,0,0.5,0.5,0.2,NA,984,0.5
23,B2,イタヤカエデ,0,0.5,0,0.1,NA,996,0.5
23,B2,ウリハダカエデ,0.5,0.5,2,1,NA,997,0.5
23,B2,ウワミズザクラ,0,2,4,4,NA,998,2
23,B2,オオカメノキ,5,10,5,5,NA,999,5
23,B2,オオバクロモジ,3,3,1,6,NA,1000,3
23,B2,コシアブラ,0,0.5,1,5,NA,1001,0.5
23,B2,コマユミ,2,0,0,,NA,1002,0
23,B2,サワフタギ,4,6,0,5,NA,1003,4
23,B2,トチノキ,0,1,0.5,0.1,NA,1004,1
23,B2,ノリウツギ,0,0.5,1,2,NA,1005,0.5
23,B2,ハイイヌガヤ,1,2,0.2,1,NA,1006,2
23,B2,ヒメアオキ,4,4,4,4,NA,1007,3
23,B2,ミズキ,3,0,0,,NA,1008,0
23,B2,メイゲツカエデ,0,0.5,0.1,0.1,NA,1009,0.5
23,B2,ヤマウルシ,0,5,5,2,NA,1010,4
23,B2,ヤマモミジ,NA,NA,3,,NA,1011,NA
23,B2,タカノツメ,NA,NA,0.1,,NA,1012,NA
23,B2,ヒメモチ,NA,NA,0.1,0.1,NA,1013,NA
23,B2,ブナ,NA,NA,0.5,1,NA,1014,NA
23,C,カメバヒキオコシ,2,0.5,0.2,1,NA,1015,0.5
23,C,クルマバソウ,0,0.5,0,,NA,1016,0.5
23,C,シラネワラビ,5,15,25,30,NA,1017,5
23,C,タニギキョウ,2,0,0,,NA,1018,0
23,C,ナライシダ,0,0.5,0,,NA,1019,0.5
23,C,ミヤマカンスゲ,0,10,2,2,NA,1020,5
23,C,ヤマソテツ,2,2,2,2,NA,1021,2
23,C,ヤマドリゼンマイ,0.5,0,0,0.5,NA,1022,0
23,C,ユキザサ,1,2,0.2,0.5,NA,1023,2
23,C,アカミノルイヨウショウマ,0.5,0,0,,NA,1024,0
23,C,コカンスゲ,5,0,0,,NA,1025,0
23,C,ツクバネソウ,NA,NA,0.1,0.1,NA,1026,NA
23,C,オシダ,NA,NA,1,,NA,1027,NA
23,C,クルマバハグマ,NA,NA,0.5,0.5,NA,1028,NA
23,S,チシマザサ,9,80,20,10,NA,1029,9
NA,,ナナカマド,NA,NA,,0.3,NA,NA,NA
24,B2,ウリハダカエデ,0.5,3,1,0.5,NA,1035,3
24,B2,ウワミズザクラ,1,5,3,5,NA,1046,4
24,B2,オオカメノキ,5,8,5,6,NA,1047,4
24,B2,オオバクロモジ,4,5,1,3,NA,1048,4
24,B2,コマユミ,2,0,0.1,,NA,1049,0
24,B2,サワフタギ,4,6,3,2,NA,1050,4
24,B2,ツリバナ,0,0.5,0,0.5,NA,1051,0.5
24,B2,ナナカマド,0,0.5,0.2,0.5,NA,1052,0.5
24,B2,ハイイヌガヤ,0,0.5,0.2,0.1,NA,1053,0.5
24,B2,ハイイヌツゲ,2,0,0,,NA,1054,0
24,B2,ハリギリ,0,6,0,,NA,1055,4
24,B2,ヒメアオキ,0,4,3,2,NA,1056,3
24,B2,ブナ,5,15,0.5,1,NA,1057,5
24,B2,ミズキ,3,0,0,,NA,1058,0
24,B2,ヤマウルシ,0,1,0.5,0.5,NA,1059,1
24,B2,ヤマモミジ,0,4,1,0.1,NA,1060,3
24,B2,マユミ,4,0,0,,NA,1061,0
24,B2,ヒメモチ,NA,NA,0.2,0.5,NA,1062,NA
24,B2,トチノキ,NA,NA,0.1,0.1,NA,1063,NA
24,B2,アオダモ,NA,NA,0.2,0.1,NA,1064,NA
24,B2,コシアブラ,NA,NA,0.1,0.5,NA,1065,NA
24,C,カメバヒキオコシ,0.5,0,0,,NA,1066,0
24,C,シラネワラビ,7,25,25,30,NA,1067,6
24,C,タチシオデ,0,0.5,0.1,0.1,NA,1068,0.5
24,C,ミヤマカンスゲ,0,10,5,3,NA,1069,5
24,C,ヤマソテツ,3,3,2,4,NA,1070,3
24,C,ユキザサ,4,6,0.2,0.1,NA,1071,4
24,C,コカンスゲ,5,0,0,,NA,1072,0
24,S,チシマザサ,9,60,40,10,NA,1073,8
NA,,メイゲツカエデ,NA,NA,,0.1,NA,NA,NA
25,B2,アオダモ,0.5,0.5,0.5,0.1,NA,1077,0.5
25,B2,ウワミズザクラ,3,3,1,1,NA,1091,3
25,B2,オオカメノキ,4,5,2,7,NA,1092,4
25,B2,オオバクロモジ,4,5,2,1,NA,1093,4
25,B2,コシアブラ,0,2,0,0.3,NA,1094,2
25,B2,コマユミ,2,0.5,0,,NA,1095,0.5
25,B2,サワフタギ,3,5,10,10,NA,1096,4
25,B2,ツノハシバミ,0,0.5,0.2,,NA,1097,0.5
25,B2,ツリバナ,0,1,0.2,,NA,1098,1
25,B2,ナナカマド,0.5,0,0,,NA,1099,0
25,B2,ノリウツギ,1,0,0,,NA,1100,0
25,B2,ハイイヌガヤ,0,2,1,0.5,NA,1101,2
25,B2,ハイイヌツゲ,0.5,1,0.5,0.2,NA,1102,1
25,B2,ヒメアオキ,0,2,0.5,0.2,NA,1103,2
25,B2,ヒメモチ,0,1,1,0.5,NA,1104,1
25,B2,ブナ,5,15,2,3,NA,1105,5
25,B2,ホオノキ,1,0,0,,NA,1106,0
25,B2,ミズキ,4,1,0.5,2,NA,1107,1
25,B2,メイゲツカエデ,0.5,0,0,1,NA,1108,0
25,B2,ヤマモミジ,NA,NA,0.1,0.1,NA,1109,NA
25,B2,ウリハダカエデ,NA,NA,0.2,0.2,NA,1110,NA
25,B2,イタヤカエデ,NA,NA,0.1,0.3,NA,1111,NA
25,C,クサアジサイ,1,0,0,,NA,1112,0
25,C,シラネワラビ,5,15,15,25,NA,1113,5
25,C,タケシマラン,0,0.5,0.1,0.1,NA,1114,0.5
25,C,タニギキョウ,1,1,0,,NA,1115,1
25,C,ツクバネソウ,0.5,0.5,0,,NA,1116,0.5
25,C,ミヤマカンスゲ,0,12,20,10,NA,1117,5
25,C,ヤマイヌワラビ,0,0.5,0.2,0.1,NA,1118,0.5
25,C,ヤマソテツ,1,1,4,2,NA,1119,1
25,C,ユキザサ,4,4,2,0.5,NA,1120,3
25,C,コカンスゲ,5,0,0,,NA,1121,0
25,C,ホウチャクソウ,0.5,0,0,,NA,1122,0
25,C,テンニンソウ,NA,NA,0.5,0.3,NA,1123,NA
25,S,チシマザサ,9,40,20,20,NA,1124,7
25,,エンレイソウ,NA,NA,,0.1,NA,NA,NA
