"","階層","種名","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1","B2","アオダモ",1,3.5,0.5,3,0,0,1,1,0,0,1,3,2,0,0.1,2,5,1,0,0.2,0.2,0.1,0.2,0.1,0.1
"2","B2","アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"3","B2","イタヤカエデ",0.3,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.2,0.1,0.5,0,0,0,0.2,0.1,0.1,0,0.3
"4","B2","ウリハダカエデ",0.5,13,1.5,2,10,1,6,4,1,2,1,2,1,5,2,0.2,3.4,6,4,0.6,0.5,5,1,0.5,0.2
"5","B2","ウワミズザクラ",0.8,3,3,3,4,2,4,0.5,2,5,0,1,2,2,3,0,1.5,5,2,1,6,0.1,4,5,1
"6","B2","エゾユズリハ",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","B2","オオイタヤメイゲツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","B2","オオカメノキ",14,37,30,20,15,25,23,35,21,4,20,200,20,10,4,13,17,14,11,10,18,15,5,6,7
"9","B2","オオバクロモジ",10,25,20,4,6,18,15,19,7,7,13,8,25,3,3,4,6,13,12,2,2,6,6,3,1
"10","B2","クサアジサイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","B2","クロウスゴ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","B2","コシアブラ",4,0,5.5,1.5,0.7,0,1,4,0,2,3,4,14,1,0.5,0.1,1,3,4,0.5,0.2,0.1,5,0.5,0.3
"13","B2","コマユミ",0.1,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0.2,0.2,0.2,0.5,0.2,0.2,0,0,0,0.1,0.5,0,0,0,0
"14","B2","サワフタギ",2,0,0,0,0,0,0,1.5,7,0.5,0,0,1,0,0,0,0,0,7,4,0,0,5,2,10
"15","B2","スノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","B2","タカノツメ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","B2","タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"18","B2","タムシバ",3,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0.2,0,0,0,0,0
"19","B2","ツノハシバミ",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0
"20","B2","ツリバナ",0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,1,0,0.2,1,0,0.5,0,0.2,0,0.2,0,0,0.5,0
"21","B2","トチノキ",0.5,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0.2,0.5,0.5,0.1,0.5,0,0,0.2,0.1,0.1,0.1,0.1,0
"22","B2","ナナカマド",0,3,0,1,0,0,0,0,0,0,0,0.5,1,0,0,0.1,0,0.5,2,2,0,1,0.3,0.5,0
"23","B2","ノリウツギ",0.5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0,2,2,0,0
"24","B2","ハイイヌガヤ",3.5,2.5,0,0,0,7,3,0.5,0,0,2,1,0,0,0,0.2,1,0,0,2,1,0.5,1,0.1,0.5
"25","B2","ハウチワカエデ",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"26","B2","ハリギリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","B2","ヒメアオキ",2,6.5,1,0.5,0,2,2,0.5,0,0.5,3,4,0,1,1,0.2,3,5,1,4,3,4,4,2,0.2
"28","B2","ブナ",2,2,1,6,6,0.5,0.5,0.5,58,5,2,4,5,8,16,2,1.5,1,4,11,3,2,1,1,3
"29","B2","ホオノキ",1.5,0,3,1,0,0,0,1.5,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
"30","B2","マユミ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"31","B2","ミズキ",0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,4,0.58,0,0,0,2
"32","B2","メイゲツカエデ",0,0.5,0,6.5,1,0,0,0.5,5,0,1,2,2,1,0,0,3,0,0,2,0,3,0.1,0.1,1
"33","B2","ヤマアジサイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
"34","B2","ヤマウルシ",1,0,0.5,0.5,0.5,0.5,3.5,4,0.5,1,3,8,5,2,0,1,4,6,0,0,0,0,2,0.5,0
"35","B2","ヤマモミジ",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0.2,5,0,0,0.1,0.1
"36","C","アカミノルイヨウショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","C","イボタノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
"38","C","ウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","C","ウメガサソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","C","エンレイソウ",0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0.5,0.1,0,0,0,0.1
"41","C","オオバユキザサ",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","C","オシダ",0,0.5,0,0,0,0.5,0,0,0,0,0.2,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0
"43","C","カメバヒキオコシ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.2,0,0,0,0,0.5,0,1,0,0
"44","C","ギンリョウソウ",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","C","クルマバソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","C","クルマバハグマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"47","C","コイワカガミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","C","コカンスゲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","C","サカゲイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"50","C","サラシナショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","C","サワダツ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","C","サンカヨウ",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","C","シノブカグマ",0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","C","ジュウモンジシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","C","シラネアオイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"56","C","シラネワラビ",25,30,35,8,30,32,28,14,30,15,30,15,10,10,15,10,18,25,14,24,13,45,30,30,25
"57","C","スミレサイシン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"58","C","タケシマラン",0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.1
"59","C","タチシオデ",0,0,0,0,0,0,0.5,0,0,0.5,0.2,0,0,0,0.7,0,0,0.1,0,0.1,0,0,0,0.1,0
"60","C","タニギキョウ",0,0,0,0,0.5,0,0,0,0,0,0,0,0.2,0.5,0.5,0,0,0.1,0,0,0,0,0,0,0
"61","C","チゴユリ",0,1,1,0.5,0.5,0.5,0.5,5,0,1,0.2,0.5,0.1,0.5,0,0,0.5,0,0.1,0.1,0,0,0,0,0
"62","C","ツクバネソウ",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0
"63","C","ツルアリドオシ",0.5,0.5,0.8,0,0.5,0.5,0.5,0.5,0,0,0.5,3,2,1,0,0.1,0.5,0.5,0,0,0,0,0,0,0
"64","C","ツルリンドウ",0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0
"65","C","テンニンソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7,0,0,0,0,3,0,0,0,0.3
"66","C","トチバニンジン",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"67","C","ナライシダ",0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0
"68","C","ハイイヌツゲ",0,0,0,0,0,0,0.5,0.5,0,0,0,2,0,0,0,2,1,0,0,0,0.1,0,0,0,0.2
"69","C","ヒメカンアオイ",0.5,0.5,2,0.5,0,1.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","C","ヒメモチ",1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,2,2,1,0.5,14,0,0.2,0.5,2,1,0.5,0.1,0.5,0.1,0.5,0.5
"71","C","ヒロバスゲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","C","ヒロハユキザサ",0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"73","C","ホウチャクソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"74","C","マイヅルソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","C","ミヤマイタチシダ",0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","C","ミヤマイボタ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
"77","C","ミヤマウズラ",0,0,0,0,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"78","C","ミヤマカンスゲ",15,10,8,8,8,8,7,4.5,8,8,20,20,3,20,6,10,5,10,5,2,10,5,2,3,10
"79","C","ミヤマシキミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","C","ヤマイヌワラビ",0,0,0,0,0,0.5,0,0,0.5,0.5,1,0.5,0.5,1,1,0.1,0,0,0,0.2,0.2,0,0,0,0.1
"81","C","ヤマソテツ",3,1,1,2.5,20,5,5,0.5,5,13,5,8,4,10,6,3,7,5,2,7,12,2,2,4,2
"82","C","ヤマドリゼンマイ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3,0,0,0,0,1,0,0.5,0,0
"83","C","ユキザサ",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,1,1,0.5,0.5,1,0.5,0.5,0,0.5,0.2,1,2,0.1,0,0.5,0.1,0.5
"84","S","チシマザサ",15,20,30,20,7,30,23,11,12,13,40,30,20,10,20,10,15,5,10,20,10,15,10,10,20
